CustomerKey;CountryCode;FirstName;LastName;BirthDate;MaritalStatus;Gender;YearlyIncome;TotalChildren;EnglishEducation;EnglishOccupation;HouseOwnerFlag;NumberCarsOwned
11000;MAC;Jon;Yang;01.10.1971;M;M;90000;2;Bachelors;Professional;1;0
11001;CHN;Eugene;Huang;01.05.1976;S;M;60000;3;Bachelors;Professional;0;1
11002;AND;Ruben;Torres;01.02.1971;M;M;60000;3;Bachelors;Professional;1;1
11003;CUW;Christy;Zhu;01.08.1973;S;F;70000;0;Bachelors;Professional;0;1
11004;GAB;Elizabeth;Johnson;01.08.1979;S;F;80000;5;Bachelors;Professional;1;4
11005;CHE;Julio;Ruiz;01.08.1976;S;M;70000;0;Bachelors;Professional;1;1
11006;TKM;Janet;Alvarez;01.12.1976;S;F;70000;0;Bachelors;Professional;1;1
11007;GIN;Marco;Mehta;01.11.1969;M;M;60000;3;Bachelors;Professional;1;2
11008;RUS;Rob;Verhoff;01.07.1975;S;F;60000;4;Bachelors;Professional;1;3
11009;BLM;Shannon;Carlson;01.09.1969;S;M;70000;0;Bachelors;Professional;0;1
11010;KAZ;Jacquelyn;Suarez;01.08.1969;S;F;70000;0;Bachelors;Professional;0;1
11011;LIE;Curtis;Lu;01.05.1969;M;M;60000;4;Bachelors;Professional;1;4
11012;CIV;Lauren;Walker;01.01.1979;M;F;100000;2;Bachelors;Management;1;2
11013;ESP;Ian;Jenkins;01.08.1979;M;M;100000;2;Bachelors;Management;1;3
11014;NIC;Sydney;Bennett;01.11.1973;S;F;100000;3;Bachelors;Management;0;3
11015;SYR;Chloe;Young;01.08.1984;S;F;30000;0;Partial College;Skilled Manual;0;1
11016;PRT;Wyatt;Hill;01.10.1984;M;M;30000;0;Partial College;Skilled Manual;1;1
11017;SPM;Shannon;Wang;01.12.1949;S;F;20000;4;High School;Skilled Manual;1;2
11018;KAZ;Clarence;Rai;01.10.1955;S;M;30000;2;Partial College;Clerical;1;2
11019;SLE;Luke;Lal;01.09.1983;S;M;40000;0;High School;Skilled Manual;0;2
11020;AND;Jordan;King;01.03.1984;S;M;40000;0;High School;Skilled Manual;0;2
11021;SUR;Destiny;Wilson;01.03.1984;S;F;40000;0;Partial College;Skilled Manual;0;1
11022;TUR;Ethan;Zhang;01.04.1984;M;M;40000;0;Partial College;Skilled Manual;1;1
11023;BRA;Seth;Edwards;01.04.1984;M;M;40000;0;Partial College;Skilled Manual;1;1
11024;AUS;Russell;Xie;01.03.1984;M;M;60000;0;Partial College;Skilled Manual;1;2
11025;ARG;Alejandro;Beck;01.06.1951;M;M;10000;2;Partial High School;Clerical;1;2
11026;SHN;Harold;Sai;01.10.1951;S;M;30000;2;Partial College;Clerical;0;2
11027;PSE;Jessie;Zhao;01.06.1952;M;M;30000;2;Partial College;Clerical;1;2
11028;CAF;Jill;Jimenez;01.10.1951;M;F;30000;2;Partial College;Clerical;1;2
11029;CIV;Jimmy;Moreno;01.06.1952;M;M;30000;2;Partial College;Clerical;1;2
11030;WLF;Bethany;Yuan;01.02.1958;M;F;10000;2;Partial High School;Clerical;1;2
11031;QAT;Theresa;Ramos;01.02.1953;M;F;20000;4;High School;Skilled Manual;1;2
11032;PLW;Denise;Stone;01.12.1952;M;F;20000;4;High School;Skilled Manual;1;2
11033;CPV;Jaime;Nath;01.09.1958;M;M;20000;4;High School;Skilled Manual;1;2
11034;ARE;Ebony;Gonzalez;01.12.1952;M;F;20000;4;High School;Skilled Manual;1;2
11035;MLI;Wendy;Dominguez;01.08.1953;M;F;10000;2;Partial High School;Clerical;1;2
11036;IOT;Jennifer;Russell;01.06.1984;M;F;60000;0;Partial College;Skilled Manual;1;2
11037;DNK;Chloe;Garcia;01.05.1983;S;F;40000;0;Partial High School;Clerical;0;2
11038;DMA;Diana;Hernandez;01.09.1953;M;F;10000;2;Partial High School;Clerical;1;2
11039;LVA;Marc;Martin;01.06.1954;M;M;30000;3;Partial College;Clerical;1;2
11040;ZWE;Jesse;Murphy;01.01.1983;M;M;30000;0;Partial College;Skilled Manual;1;2
11041;KIR;Amanda;Carter;01.04.1983;M;F;60000;0;Partial College;Skilled Manual;1;2
11042;GTM;Megan;Sanchez;01.12.1982;M;F;70000;0;Partial College;Skilled Manual;1;2
11043;EST;Nathan;Simmons;01.08.1981;M;M;60000;0;Partial College;Skilled Manual;1;2
11044;SEN;Adam;Flores;01.11.1954;M;M;20000;2;Partial High School;Clerical;1;2
11045;BIH;Leonard;Nara;01.11.1955;S;M;30000;3;High School;Skilled Manual;0;2
11046;MUS;Christine;Yuan;01.09.1955;M;F;30000;3;High School;Skilled Manual;1;2
11047;ZWE;Jaclyn;Lu;01.08.1955;M;F;30000;3;High School;Skilled Manual;0;2
